Best model: dsc0.689.pth.tar
Trans dsc: 0.5307, Raw dsc: 0.3112, Time: 0.1489, Jac: 1.0000
Trans dsc: 0.5576, Raw dsc: 0.2903, Time: 0.1326, Jac: 1.0000
Trans dsc: 0.5568, Raw dsc: 0.3060, Time: 0.1292, Jac: 1.0000
Trans dsc: 0.5184, Raw dsc: 0.3185, Time: 0.1299, Jac: 0.0000
Trans dsc: 0.5223, Raw dsc: 0.3273, Time: 0.1296, Jac: 1.0000
Trans dsc: 0.5167, Raw dsc: 0.2640, Time: 0.1300, Jac: 1.0000
Trans dsc: 0.5283, Raw dsc: 0.3136, Time: 0.1295, Jac: 1.0000
Trans dsc: 0.4987, Raw dsc: 0.3152, Time: 0.1310, Jac: 1.0000
Trans dsc: 0.4856, Raw dsc: 0.3927, Time: 0.1313, Jac: 1.0000
Trans dsc: 0.5250, Raw dsc: 0.2911, Time: 0.1296, Jac: 1.0000
Trans dsc: 0.5458, Raw dsc: 0.2904, Time: 0.1299, Jac: 1.0000
Trans dsc: 0.4413, Raw dsc: 0.3062, Time: 0.1293, Jac: 0.0000
Trans dsc: 0.4966, Raw dsc: 0.2741, Time: 0.1296, Jac: 1.0000
Trans dsc: 0.5052, Raw dsc: 0.2417, Time: 0.1289, Jac: 1.0000
Trans dsc: 0.4952, Raw dsc: 0.3193, Time: 0.1295, Jac: 1.0000
Trans dsc: 0.5626, Raw dsc: 0.3049, Time: 0.1304, Jac: 1.0000
Trans dsc: 0.4826, Raw dsc: 0.2520, Time: 0.1302, Jac: 1.0000
Trans dsc: 0.5650, Raw dsc: 0.3024, Time: 0.1311, Jac: 1.0000
Trans dsc: 0.5107, Raw dsc: 0.2627, Time: 0.1290, Jac: 1.0000
Trans dsc: 0.5133, Raw dsc: 0.3339, Time: 0.1304, Jac: 0.0000
Trans dsc: 0.5303, Raw dsc: 0.3081, Time: 0.1291, Jac: 1.0000
Trans dsc: 0.5752, Raw dsc: 0.2814, Time: 0.1294, Jac: 1.0000
