Best model: dsc0.688.pth.tar
Trans dsc: 0.5201, Raw dsc: 0.3112, Time: 0.0656, Jac: 0.0000
Trans dsc: 0.5532, Raw dsc: 0.2903, Time: 0.0645, Jac: 0.0000
Trans dsc: 0.5524, Raw dsc: 0.3060, Time: 0.1018, Jac: 0.0000
Trans dsc: 0.5158, Raw dsc: 0.3185, Time: 0.0823, Jac: 0.0000
Trans dsc: 0.5169, Raw dsc: 0.3273, Time: 0.0642, Jac: 0.0000
Trans dsc: 0.5184, Raw dsc: 0.2640, Time: 0.0648, Jac: 0.0000
Trans dsc: 0.5262, Raw dsc: 0.3136, Time: 0.0644, Jac: 0.0000
Trans dsc: 0.4950, Raw dsc: 0.3152, Time: 0.0643, Jac: 0.0000
Trans dsc: 0.4942, Raw dsc: 0.3927, Time: 0.0629, Jac: 0.0000
Trans dsc: 0.5227, Raw dsc: 0.2911, Time: 0.0648, Jac: 0.0000
Trans dsc: 0.5318, Raw dsc: 0.2904, Time: 0.0645, Jac: 0.0000
Trans dsc: 0.4370, Raw dsc: 0.3062, Time: 0.0630, Jac: 0.0000
Trans dsc: 0.4997, Raw dsc: 0.2741, Time: 0.0648, Jac: 0.0000
Trans dsc: 0.5085, Raw dsc: 0.2417, Time: 0.0645, Jac: 0.0000
Trans dsc: 0.4963, Raw dsc: 0.3193, Time: 0.0627, Jac: 0.0000
Trans dsc: 0.5630, Raw dsc: 0.3049, Time: 0.0659, Jac: 0.0000
Trans dsc: 0.4787, Raw dsc: 0.2520, Time: 0.0645, Jac: 0.0000
Trans dsc: 0.5671, Raw dsc: 0.3024, Time: 0.0629, Jac: 0.0000
Trans dsc: 0.5129, Raw dsc: 0.2627, Time: 0.0626, Jac: 0.0000
Trans dsc: 0.4997, Raw dsc: 0.3339, Time: 0.0644, Jac: 0.0000
Trans dsc: 0.5350, Raw dsc: 0.3081, Time: 0.0677, Jac: 0.0000
Trans dsc: 0.5750, Raw dsc: 0.2814, Time: 0.1044, Jac: 0.0000
Trans dsc: 0.5316, Raw dsc: 0.2910, Time: 0.0649, Jac: 0.0000
Trans dsc: 0.5165, Raw dsc: 0.3288, Time: 0.0628, Jac: 0.0000
Trans dsc: 0.4779, Raw dsc: 0.2538, Time: 0.1148, Jac: 0.0000
Trans dsc: 0.4680, Raw dsc: 0.2621, Time: 0.0643, Jac: 0.0000
Trans dsc: 0.5598, Raw dsc: 0.3317, Time: 0.0644, Jac: 0.0000
Trans dsc: 0.5499, Raw dsc: 0.2991, Time: 0.0648, Jac: 0.0000
Trans dsc: 0.5557, Raw dsc: 0.2634, Time: 0.0644, Jac: 0.0000
Trans dsc: 0.5011, Raw dsc: 0.3114, Time: 0.0644, Jac: 0.0000
Trans dsc: 0.5604, Raw dsc: 0.2706, Time: 0.0628, Jac: 0.0000
Trans dsc: 0.5251, Raw dsc: 0.2921, Time: 0.0643, Jac: 0.0000
Trans dsc: 0.5394, Raw dsc: 0.3227, Time: 0.0628, Jac: 0.0000
Trans dsc: 0.5190, Raw dsc: 0.3122, Time: 0.0638, Jac: 0.0000
Trans dsc: 0.5125, Raw dsc: 0.2606, Time: 0.0644, Jac: 0.0000
Trans dsc: 0.5151, Raw dsc: 0.3252, Time: 0.0645, Jac: 0.0000
Trans dsc: 0.5545, Raw dsc: 0.2980, Time: 0.0644, Jac: 0.0000
Trans dsc: 0.5481, Raw dsc: 0.3071, Time: 0.0658, Jac: 0.0000
Trans dsc: 0.5448, Raw dsc: 0.3302, Time: 0.0644, Jac: 0.0000
Trans dsc: 0.5016, Raw dsc: 0.2437, Time: 0.0642, Jac: 0.0000
Trans dsc: 0.5385, Raw dsc: 0.2960, Time: 0.0645, Jac: 0.0000
Trans dsc: 0.5327, Raw dsc: 0.2926, Time: 0.0645, Jac: 0.0000
Trans dsc: 0.5488, Raw dsc: 0.3285, Time: 0.0643, Jac: 0.0000
Trans dsc: 0.5409, Raw dsc: 0.2879, Time: 0.0647, Jac: 0.0000
Trans dsc: 0.4838, Raw dsc: 0.3180, Time: 0.0626, Jac: 0.0000
Deformed DSC: 0.521 +- 0.028, Affine DSC: 0.299 +- 0.027
deformed det: 0.0, std: 0.0
avg time: 0.06706064058386761
avg jac: 0.0
