Best model: dsc0.690.pth.tar
Trans dsc: 0.5285, Raw dsc: 0.3112, Time: 0.0432, Jac: 0.0000
Trans dsc: 0.5553, Raw dsc: 0.2903, Time: 0.0450, Jac: 0.0000
Trans dsc: 0.5513, Raw dsc: 0.3060, Time: 0.0432, Jac: 0.0000
Trans dsc: 0.5207, Raw dsc: 0.3185, Time: 0.0432, Jac: 0.0000
Trans dsc: 0.5200, Raw dsc: 0.3273, Time: 0.0449, Jac: 0.0000
Trans dsc: 0.5210, Raw dsc: 0.2640, Time: 0.0451, Jac: 0.0000
Trans dsc: 0.5342, Raw dsc: 0.3136, Time: 0.0449, Jac: 0.0000
Trans dsc: 0.5014, Raw dsc: 0.3152, Time: 0.0432, Jac: 0.0000
Trans dsc: 0.4857, Raw dsc: 0.3927, Time: 0.0448, Jac: 0.0000
Trans dsc: 0.5240, Raw dsc: 0.2911, Time: 0.0439, Jac: 0.0000
Trans dsc: 0.5389, Raw dsc: 0.2904, Time: 0.0449, Jac: 0.0000
Trans dsc: 0.4306, Raw dsc: 0.3062, Time: 0.0432, Jac: 0.0000
Trans dsc: 0.4971, Raw dsc: 0.2741, Time: 0.0432, Jac: 0.0000
Trans dsc: 0.5061, Raw dsc: 0.2417, Time: 0.0432, Jac: 0.0000
Trans dsc: 0.4961, Raw dsc: 0.3193, Time: 0.0618, Jac: 0.0000
Trans dsc: 0.5636, Raw dsc: 0.3049, Time: 0.0452, Jac: 0.0000
Trans dsc: 0.4745, Raw dsc: 0.2520, Time: 0.0449, Jac: 0.0000
Trans dsc: 0.5670, Raw dsc: 0.3024, Time: 0.0455, Jac: 0.0000
Trans dsc: 0.5161, Raw dsc: 0.2627, Time: 0.0431, Jac: 0.0000
Trans dsc: 0.5030, Raw dsc: 0.3339, Time: 0.0448, Jac: 0.0000
Trans dsc: 0.5340, Raw dsc: 0.3081, Time: 0.0432, Jac: 0.0000
Trans dsc: 0.5797, Raw dsc: 0.2814, Time: 0.0450, Jac: 0.0000
Trans dsc: 0.5327, Raw dsc: 0.2910, Time: 0.0439, Jac: 0.0000
Trans dsc: 0.5177, Raw dsc: 0.3288, Time: 0.0448, Jac: 0.0000
Trans dsc: 0.4686, Raw dsc: 0.2538, Time: 0.0431, Jac: 0.0000
Trans dsc: 0.4556, Raw dsc: 0.2621, Time: 0.0432, Jac: 0.0000
Trans dsc: 0.5623, Raw dsc: 0.3317, Time: 0.0450, Jac: 0.0000
Trans dsc: 0.5503, Raw dsc: 0.2991, Time: 0.0434, Jac: 0.0000
Trans dsc: 0.5543, Raw dsc: 0.2634, Time: 0.0455, Jac: 0.0000
Trans dsc: 0.5054, Raw dsc: 0.3114, Time: 0.0723, Jac: 0.0000
Trans dsc: 0.5604, Raw dsc: 0.2706, Time: 0.0450, Jac: 0.0000
Trans dsc: 0.5243, Raw dsc: 0.2921, Time: 0.0451, Jac: 0.0000
Trans dsc: 0.5381, Raw dsc: 0.3227, Time: 0.0432, Jac: 0.0000
Trans dsc: 0.5232, Raw dsc: 0.3122, Time: 0.0432, Jac: 0.0000
Trans dsc: 0.5130, Raw dsc: 0.2606, Time: 0.0451, Jac: 0.0000
Trans dsc: 0.5118, Raw dsc: 0.3252, Time: 0.0448, Jac: 0.0000
Trans dsc: 0.5479, Raw dsc: 0.2980, Time: 0.0445, Jac: 0.0000
Trans dsc: 0.5495, Raw dsc: 0.3071, Time: 0.0450, Jac: 0.0000
Trans dsc: 0.5433, Raw dsc: 0.3302, Time: 0.0539, Jac: 0.0000
Trans dsc: 0.4984, Raw dsc: 0.2437, Time: 0.0437, Jac: 0.0000
Trans dsc: 0.5305, Raw dsc: 0.2960, Time: 0.0432, Jac: 0.0000
Trans dsc: 0.5317, Raw dsc: 0.2926, Time: 0.0447, Jac: 0.0000
Trans dsc: 0.5548, Raw dsc: 0.3285, Time: 0.0433, Jac: 0.0000
Trans dsc: 0.5436, Raw dsc: 0.2879, Time: 0.0447, Jac: 0.0000
Trans dsc: 0.4840, Raw dsc: 0.3180, Time: 0.0430, Jac: 0.0000
Deformed DSC: 0.522 +- 0.029, Affine DSC: 0.299 +- 0.027
deformed det: 0.0, std: 0.0
avg time: 0.04657520003940748
avg jac: 0.0
