Best model: dsc0.690.pth.tar
Trans dsc: 0.5292, Raw dsc: 0.3112, Time: 0.0659, Jac: 1.0000
Trans dsc: 0.5556, Raw dsc: 0.2903, Time: 0.0654, Jac: 1.0000
Trans dsc: 0.5521, Raw dsc: 0.3060, Time: 0.0649, Jac: 1.0000
Trans dsc: 0.5150, Raw dsc: 0.3185, Time: 0.0652, Jac: 1.0000
Trans dsc: 0.5149, Raw dsc: 0.3273, Time: 0.0653, Jac: 1.0000
Trans dsc: 0.5174, Raw dsc: 0.2640, Time: 0.0654, Jac: 1.0000
Trans dsc: 0.5303, Raw dsc: 0.3136, Time: 0.0652, Jac: 1.0000
Trans dsc: 0.4995, Raw dsc: 0.3152, Time: 0.0637, Jac: 1.0000
Trans dsc: 0.4856, Raw dsc: 0.3927, Time: 0.0679, Jac: 1.0000
Trans dsc: 0.5257, Raw dsc: 0.2911, Time: 0.0643, Jac: 1.0000
Trans dsc: 0.5458, Raw dsc: 0.2904, Time: 0.0636, Jac: 1.0000
Trans dsc: 0.4363, Raw dsc: 0.3062, Time: 0.0655, Jac: 1.0000
Trans dsc: 0.5032, Raw dsc: 0.2741, Time: 0.0656, Jac: 1.0000
Trans dsc: 0.5075, Raw dsc: 0.2417, Time: 0.0653, Jac: 1.0000
Trans dsc: 0.4971, Raw dsc: 0.3193, Time: 0.0649, Jac: 1.0000
Trans dsc: 0.5617, Raw dsc: 0.3049, Time: 0.0652, Jac: 1.0000
Trans dsc: 0.4851, Raw dsc: 0.2520, Time: 0.0650, Jac: 1.0000
Trans dsc: 0.5631, Raw dsc: 0.3024, Time: 0.0636, Jac: 1.0000
Trans dsc: 0.5158, Raw dsc: 0.2627, Time: 0.0634, Jac: 1.0000
Trans dsc: 0.5083, Raw dsc: 0.3339, Time: 0.0650, Jac: 1.0000
Trans dsc: 0.5288, Raw dsc: 0.3081, Time: 0.0651, Jac: 1.0000
Trans dsc: 0.5742, Raw dsc: 0.2814, Time: 0.0636, Jac: 1.0000
Trans dsc: 0.5326, Raw dsc: 0.2910, Time: 0.0653, Jac: 1.0000
Trans dsc: 0.5148, Raw dsc: 0.3288, Time: 0.0657, Jac: 1.0000
Trans dsc: 0.4809, Raw dsc: 0.2538, Time: 0.0650, Jac: 1.0000
Trans dsc: 0.4749, Raw dsc: 0.2621, Time: 0.0652, Jac: 1.0000
Trans dsc: 0.5638, Raw dsc: 0.3317, Time: 0.0649, Jac: 1.0000
Trans dsc: 0.5473, Raw dsc: 0.2991, Time: 0.1172, Jac: 1.0000
Trans dsc: 0.5656, Raw dsc: 0.2634, Time: 0.0635, Jac: 1.0000
Trans dsc: 0.5027, Raw dsc: 0.3114, Time: 0.0649, Jac: 1.0000
Trans dsc: 0.5690, Raw dsc: 0.2706, Time: 0.0651, Jac: 1.0000
Trans dsc: 0.5263, Raw dsc: 0.2921, Time: 0.0652, Jac: 1.0000
Trans dsc: 0.5341, Raw dsc: 0.3227, Time: 0.0648, Jac: 1.0000
Trans dsc: 0.5217, Raw dsc: 0.3122, Time: 0.0635, Jac: 1.0000
Trans dsc: 0.5206, Raw dsc: 0.2606, Time: 0.0660, Jac: 1.0000
Trans dsc: 0.5077, Raw dsc: 0.3252, Time: 0.0652, Jac: 1.0000
Trans dsc: 0.5581, Raw dsc: 0.2980, Time: 0.0652, Jac: 1.0000
Trans dsc: 0.5444, Raw dsc: 0.3071, Time: 0.0648, Jac: 1.0000
Trans dsc: 0.5420, Raw dsc: 0.3302, Time: 0.0655, Jac: 1.0000
Trans dsc: 0.5093, Raw dsc: 0.2437, Time: 0.0655, Jac: 1.0000
Trans dsc: 0.5414, Raw dsc: 0.2960, Time: 0.0635, Jac: 1.0000
Trans dsc: 0.5376, Raw dsc: 0.2926, Time: 0.0645, Jac: 1.0000
Trans dsc: 0.5478, Raw dsc: 0.3285, Time: 0.0657, Jac: 1.0000
Trans dsc: 0.5457, Raw dsc: 0.2879, Time: 0.0652, Jac: 1.0000
Trans dsc: 0.4873, Raw dsc: 0.3180, Time: 0.0640, Jac: 1.0000
Deformed DSC: 0.523 +- 0.028, Affine DSC: 0.299 +- 0.027
deformed det: 1.4153079710144906e-07, std: 2.3163413960172425e-08
avg time: 0.0672929680865744
avg jac: 0.9739130434782609
