Best model: dsc0.418.pth.tar
Trans dsc: 0.3119, Raw dsc: 0.3112, Time: 0.1450, Jac: 0.0000
Trans dsc: 0.2907, Raw dsc: 0.2903, Time: 0.1939, Jac: 0.0000
Trans dsc: 0.3055, Raw dsc: 0.3060, Time: 0.1424, Jac: 0.0000
Trans dsc: 0.3150, Raw dsc: 0.3185, Time: 0.1421, Jac: 0.0000
Trans dsc: 0.3255, Raw dsc: 0.3273, Time: 0.1442, Jac: 0.0000
Trans dsc: 0.2610, Raw dsc: 0.2640, Time: 0.1439, Jac: 0.0000
Trans dsc: 0.3132, Raw dsc: 0.3136, Time: 0.1435, Jac: 0.0000
Trans dsc: 0.3117, Raw dsc: 0.3152, Time: 0.1440, Jac: 0.0000
Trans dsc: 0.3920, Raw dsc: 0.3927, Time: 0.1434, Jac: 0.0000
Trans dsc: 0.2906, Raw dsc: 0.2911, Time: 0.1426, Jac: 0.0000
Trans dsc: 0.2908, Raw dsc: 0.2904, Time: 0.1420, Jac: 0.0000
Trans dsc: 0.3079, Raw dsc: 0.3062, Time: 0.1440, Jac: 0.0000
Trans dsc: 0.2726, Raw dsc: 0.2741, Time: 0.1437, Jac: 0.0000
Trans dsc: 0.2400, Raw dsc: 0.2417, Time: 0.1435, Jac: 0.0000
Trans dsc: 0.3194, Raw dsc: 0.3193, Time: 0.1429, Jac: 0.0000
Trans dsc: 0.3045, Raw dsc: 0.3049, Time: 0.1433, Jac: 0.0000
Trans dsc: 0.2527, Raw dsc: 0.2520, Time: 0.1444, Jac: 0.0000
Trans dsc: 0.3018, Raw dsc: 0.3024, Time: 0.1451, Jac: 0.0000
Trans dsc: 0.2632, Raw dsc: 0.2627, Time: 0.1880, Jac: 0.0000
Trans dsc: 0.3327, Raw dsc: 0.3339, Time: 0.1422, Jac: 0.0000
Trans dsc: 0.3089, Raw dsc: 0.3081, Time: 0.1425, Jac: 0.0000
Trans dsc: 0.2810, Raw dsc: 0.2814, Time: 0.1433, Jac: 0.0000
Trans dsc: 0.2898, Raw dsc: 0.2910, Time: 0.1440, Jac: 0.0000
Trans dsc: 0.3272, Raw dsc: 0.3288, Time: 0.1428, Jac: 0.0000
Trans dsc: 0.2568, Raw dsc: 0.2538, Time: 0.1423, Jac: 0.0000
Trans dsc: 0.2627, Raw dsc: 0.2621, Time: 0.1421, Jac: 0.0000
Trans dsc: 0.3322, Raw dsc: 0.3317, Time: 0.1419, Jac: 0.0000
Trans dsc: 0.2993, Raw dsc: 0.2991, Time: 0.1426, Jac: 0.0000
Trans dsc: 0.2635, Raw dsc: 0.2634, Time: 0.1421, Jac: 0.0000
Trans dsc: 0.3090, Raw dsc: 0.3114, Time: 0.1450, Jac: 0.0000
Trans dsc: 0.2693, Raw dsc: 0.2706, Time: 0.2018, Jac: 0.0000
Trans dsc: 0.2935, Raw dsc: 0.2921, Time: 0.1732, Jac: 0.0000
Trans dsc: 0.3211, Raw dsc: 0.3227, Time: 0.1419, Jac: 0.0000
Trans dsc: 0.3081, Raw dsc: 0.3122, Time: 0.1430, Jac: 0.0000
Trans dsc: 0.2591, Raw dsc: 0.2606, Time: 0.1421, Jac: 0.0000
Trans dsc: 0.3231, Raw dsc: 0.3252, Time: 0.1420, Jac: 0.0000
Trans dsc: 0.2995, Raw dsc: 0.2980, Time: 0.1427, Jac: 0.0000
Trans dsc: 0.3051, Raw dsc: 0.3071, Time: 0.1433, Jac: 0.0000
Trans dsc: 0.3271, Raw dsc: 0.3302, Time: 0.1437, Jac: 0.0000
Trans dsc: 0.2438, Raw dsc: 0.2437, Time: 0.1436, Jac: 0.0000
Trans dsc: 0.2962, Raw dsc: 0.2960, Time: 0.1437, Jac: 0.0000
Trans dsc: 0.2931, Raw dsc: 0.2926, Time: 0.1435, Jac: 0.0000
Trans dsc: 0.3291, Raw dsc: 0.3285, Time: 0.1428, Jac: 0.0000
Trans dsc: 0.2867, Raw dsc: 0.2879, Time: 0.1426, Jac: 0.0000
Trans dsc: 0.3167, Raw dsc: 0.3180, Time: 0.1424, Jac: 0.0000
Deformed DSC: 0.299 +- 0.027, Affine DSC: 0.299 +- 0.027
deformed det: 0.0, std: 0.0
avg time: 0.1481101720229439
avg jac: 0.0
