Best model: dsc0.691.pth.tar
Trans dsc: 0.5280, Raw dsc: 0.3112, Time: 0.1288, Jac: 0.0000
Trans dsc: 0.5567, Raw dsc: 0.2903, Time: 0.1306, Jac: 0.0000
Trans dsc: 0.5538, Raw dsc: 0.3060, Time: 0.1306, Jac: 0.0000
Trans dsc: 0.5140, Raw dsc: 0.3185, Time: 0.1307, Jac: 0.0000
Trans dsc: 0.5161, Raw dsc: 0.3273, Time: 0.1290, Jac: 0.0000
Trans dsc: 0.5216, Raw dsc: 0.2640, Time: 0.1285, Jac: 0.0000
Trans dsc: 0.5271, Raw dsc: 0.3136, Time: 0.1302, Jac: 0.0000
Trans dsc: 0.5026, Raw dsc: 0.3152, Time: 0.1285, Jac: 0.0000
Trans dsc: 0.4896, Raw dsc: 0.3927, Time: 0.1296, Jac: 0.0000
Trans dsc: 0.5255, Raw dsc: 0.2911, Time: 0.1287, Jac: 0.0000
Trans dsc: 0.5392, Raw dsc: 0.2904, Time: 0.1297, Jac: 0.0000
Trans dsc: 0.4382, Raw dsc: 0.3062, Time: 0.1285, Jac: 0.0000
Trans dsc: 0.5009, Raw dsc: 0.2741, Time: 0.1317, Jac: 0.0000
Trans dsc: 0.5178, Raw dsc: 0.2417, Time: 0.1285, Jac: 0.0000
Trans dsc: 0.4918, Raw dsc: 0.3193, Time: 0.1283, Jac: 0.0000
Trans dsc: 0.5606, Raw dsc: 0.3049, Time: 0.1305, Jac: 0.0000
Trans dsc: 0.4910, Raw dsc: 0.2520, Time: 0.1300, Jac: 0.0000
Trans dsc: 0.5697, Raw dsc: 0.3024, Time: 0.1295, Jac: 0.0000
Trans dsc: 0.5176, Raw dsc: 0.2627, Time: 0.1295, Jac: 0.0000
Trans dsc: 0.5057, Raw dsc: 0.3339, Time: 0.1621, Jac: 0.0000
Trans dsc: 0.5348, Raw dsc: 0.3081, Time: 0.1396, Jac: 0.0000
Trans dsc: 0.5786, Raw dsc: 0.2814, Time: 0.1297, Jac: 0.0000
Trans dsc: 0.5366, Raw dsc: 0.2910, Time: 0.1285, Jac: 0.0000
Trans dsc: 0.5195, Raw dsc: 0.3288, Time: 0.1282, Jac: 0.0000
Trans dsc: 0.4899, Raw dsc: 0.2538, Time: 0.1290, Jac: 0.0000
Trans dsc: 0.4891, Raw dsc: 0.2621, Time: 0.1285, Jac: 0.0000
Trans dsc: 0.5612, Raw dsc: 0.3317, Time: 0.1292, Jac: 0.0000
Trans dsc: 0.5487, Raw dsc: 0.2991, Time: 0.1284, Jac: 0.0000
Trans dsc: 0.5676, Raw dsc: 0.2634, Time: 0.1292, Jac: 0.0000
Trans dsc: 0.5064, Raw dsc: 0.3114, Time: 0.1318, Jac: 0.0000
Trans dsc: 0.5739, Raw dsc: 0.2706, Time: 0.1298, Jac: 0.0000
Trans dsc: 0.5314, Raw dsc: 0.2921, Time: 0.1287, Jac: 0.0000
Trans dsc: 0.5350, Raw dsc: 0.3227, Time: 0.1310, Jac: 0.0000
Trans dsc: 0.5231, Raw dsc: 0.3122, Time: 0.1287, Jac: 0.0000
Trans dsc: 0.5233, Raw dsc: 0.2606, Time: 0.1290, Jac: 0.0000
Trans dsc: 0.5080, Raw dsc: 0.3252, Time: 0.1288, Jac: 0.0000
Trans dsc: 0.5653, Raw dsc: 0.2980, Time: 0.1286, Jac: 0.0000
Trans dsc: 0.5469, Raw dsc: 0.3071, Time: 0.1289, Jac: 0.0000
Trans dsc: 0.5410, Raw dsc: 0.3302, Time: 0.1302, Jac: 0.0000
Trans dsc: 0.5026, Raw dsc: 0.2437, Time: 0.1309, Jac: 0.0000
Trans dsc: 0.5398, Raw dsc: 0.2960, Time: 0.1323, Jac: 0.0000
Trans dsc: 0.5345, Raw dsc: 0.2926, Time: 0.1733, Jac: 0.0000
Trans dsc: 0.5444, Raw dsc: 0.3285, Time: 0.1492, Jac: 0.0000
Trans dsc: 0.5419, Raw dsc: 0.2879, Time: 0.1286, Jac: 0.0000
Trans dsc: 0.4847, Raw dsc: 0.3180, Time: 0.1283, Jac: 0.0000
Deformed DSC: 0.524 +- 0.028, Affine DSC: 0.299 +- 0.027
deformed det: 0.0, std: 0.0
avg time: 0.13421935827835746
avg jac: 0.0
